---,Name Text Normal,Name Text Romanized,Favorite Food,Level,Type,Speciality #1,Speciality #2,Speciality #3,Sleep Time,Training Preference,Sprite,Mesh,Animation,Material,Prefered Map ID,Default Weight,Energy Capacity,Energy Threshold,Energy Usage,Poop Size,Poop Timer,Height,AI Partner Distance,Scale,Head Bone,Mouth Bone,Chest Bone,Foot Bone Right,Foot Bone Left,Footstep Sound,Eat Sound,Attack Sound,Glad Sound,Down Sound,Feeding Time #1,Feeding Time #2,Feeding Time #3,Feeding Time #4,Feeding Time #5,Feeding Time #6,Feeding Time #7,Feeding Time #8,Enabled Technique #1,Enabled Technique #2,Enabled Technique #3,Enabled Technique #4,Enabled Technique #5,Enabled Technique #6,Enabled Technique #7,Enabled Technique #8,Enabled Technique #9,Enabled Technique #10,Enabled Technique #11,Enabled Technique #12,Enabled Technique #13,Enabled Technique #14,Enabled Technique #15,Enabled Technique #16,Default Technique,Finisher Index,Animation Attack Short,Animation Attack Long,Animation Attack Special 01,Animation Attack Special 02,Animation Damaged,Animation Guard,Animation Get Up,Animation Down,Animation Win / Glad,Animation Eat,Statsgain - HP,Statsgain - MP,Statsgain - Offense,Statsgain - Defense,Statsgain - Speed,Statsgain - Brains,Digivolution Requirement - Bonus,Digivolution Requirement - HP,Digivolution Requirement - MP,Digivolution Requirement - Offense,Digivolution Requirement - Defense,Digivolution Requirement - Speed,Digivolution Requirement - Brains,Digivolution Requirement - Care Mistakes,Digivolution Requirement - Weight,Digivolution Requirement - Happiness,Digivolution Requirement - Discipline,Digivolution Requirement - Battles Won,Digivolution Requirement - Techniques,Digivolution Requirement - Max Battles,Digivolution Requirement - Max Care Mistakes,Digivoluton - From #1,Digivoluton - From #2,Digivoluton - From #3,Digivoluton - From #4,Digivoluton - From #5,Digivoluton - To #1,Digivoluton - To #2,Digivoluton - To #3,Digivoluton - To #4,Digivoluton - To #5,Digivoluton - To #6
Seadramon_Lake,"Seadramon","Seadramon","None","Champion","Data","None","None","None","N/A Baby","Neutral","/Script/Engine.Texture2D'/Game/UI/Images/DigimonSprite_Seadramon.DigimonSprite_Seadramon'","/Script/Engine.SkeletalMesh'/Game/Digimon/Characters/Seadramon/SkeletalMesh_Seadramon.SkeletalMesh_Seadramon'","/Script/Engine.AnimBlueprintGeneratedClass'/Game/Digimon/Characters/Seadramon/Animation_Seadramon.Animation_Seadramon_C'","(""/Script/Engine.Material'/Game/Digimon/Characters/Seadramon/DigimonMaterial_Seadramon.DigimonMaterial_Seadramon'"")","0","0","0","0","0","1","0","0","300","20.000000","None","None","None","None","None","None","None","None","None","None","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","None","None","None","None","None","None","None","None","None","None","-1","-1","-1","-1","-1","-1","None","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","False","False","None","None","None","None","None","None","None","None","None","None","None"
ShogunGekomon,"ShogunGekomon","TonosamaGekomon","None","Ultimate","Virus","Ice","Battle","Earth","Day","Neutral","/Script/Engine.Texture2D'/Game/UI/Images/DigimonSprite_Shogungekomon.DigimonSprite_Shogungekomon'","/Script/Engine.SkeletalMesh'/Game/Digimon/Characters/ShogunGekomon/SkeletalMesh_ShogunGekomon.SkeletalMesh_ShogunGekomon'","/Script/Engine.AnimBlueprintGeneratedClass'/Game/Digimon/Characters/ShogunGekomon/Animation_ShogunGekomon.Animation_ShogunGekomon_C'","(""/Script/Engine.Material'/Game/Digimon/Characters/ShogunGekomon/DigimonMaterial_ShogunGekomon.DigimonMaterial_ShogunGekomon'"")","0","30","80","0","0","1","36","0","400","1.200000","J_atama","J_ago","J_center","J_tuma_R","J_tuma_L","None","None","None","None","None","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","/Script/Engine.AnimSequence'/Game/Digimon/Characters/ShogunGekomon/ShogunGekomon_Anim_attack01.ShogunGekomon_Anim_attack01'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/ShogunGekomon/ShogunGekomon_Anim_attack02.ShogunGekomon_Anim_attack02'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/ShogunGekomon/ShogunGekomon_Anim_special01.ShogunGekomon_Anim_special01'","None","/Script/Engine.AnimSequence'/Game/Digimon/Characters/ShogunGekomon/ShogunGekomon_Anim_damage.ShogunGekomon_Anim_damage'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/ShogunGekomon/ShogunGekomon_Anim_guard.ShogunGekomon_Anim_guard'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/ShogunGekomon/ShogunGekomon_Anim_getup.ShogunGekomon_Anim_getup'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/ShogunGekomon/ShogunGekomon_Anim_down.ShogunGekomon_Anim_down'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/ShogunGekomon/ShogunGekomon_Anim_win.ShogunGekomon_Anim_win'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/ShogunGekomon/ShogunGekomon_Anim_eat.ShogunGekomon_Anim_eat'","-1","-1","-1","-1","-1","-1","None","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","False","False","None","None","None","None","None","None","None","None","None","None","None"
ShogunGekomon_VolumeVilla,"ShogunGekomon","TonosamaGekomon","None","Ultimate","Data","None","None","None","N/A Baby","Neutral","/Script/Engine.Texture2D'/Game/UI/Images/DigimonSprite_Shogungekomon.DigimonSprite_Shogungekomon'","/Script/Engine.SkeletalMesh'/Game/Digimon/Characters/ShogunGekomon/SkeletalMesh_ShogunGekomon.SkeletalMesh_ShogunGekomon'","/Script/Engine.AnimBlueprintGeneratedClass'/Game/Digimon/Characters/ShogunGekomon/Animation_ShogunGekomon.Animation_ShogunGekomon_C'","(""/Script/Engine.Material'/Game/Digimon/Characters/ShogunGekomon/DigimonMaterial_ShogunGekomon.DigimonMaterial_ShogunGekomon'"")","0","0","0","0","0","1","0","0","400","2.800000","None","None","None","None","None","None","None","None","None","None","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","None","None","None","None","None","None","None","None","None","None","-1","-1","-1","-1","-1","-1","None","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","False","False","None","None","None","None","None","None","None","None","None","None","None"
SkullGreymon,"SkullGreymon","SkullGreymon","DigiSeabass","Ultimate","Virus","Battle","Ice","Mech","Sunset","Offense and Speed","/Script/Engine.Texture2D'/Game/UI/Images/DigimonSprite_SkullGreymon.DigimonSprite_SkullGreymon'","/Script/Engine.SkeletalMesh'/Game/Digimon/Characters/SkullGreymon/SkeletalMesh_SkullGreymon.SkeletalMesh_SkullGreymon'","/Script/Engine.AnimBlueprintGeneratedClass'/Game/Digimon/Characters/SkullGreymon/Animation_SkullGreymon.Animation_SkullGreymon_C'","(""/Script/Engine.Material'/Game/Digimon/Characters/SkullGreymon/DigimonMaterial_SkullGreymon.DigimonMaterial_SkullGreymon'"")","6","30","80","30","4","1","36","0","500","1.400000","J_atama","J_ago","J_center","J_tuma2_R","J_tuma2_L","/Script/Engine.SoundWave'/Game/Audio/SFX/Movement/SL_00009.SL_00009'","None","None","/Script/Engine.SoundWave'/Game/Audio/SFX/DigimonVoices/VLALL_00011.VLALL_00011'","None","4","12","20","-1","-1","-1","-1","-1","8","9","10","11","12","13","14","15","32","33","34","41","43","-1","-1","-1","11","79","/Script/Engine.AnimSequence'/Game/Digimon/Characters/SkullGreymon/SkullGreymon_Anim_attack01.SkullGreymon_Anim_attack01'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/SkullGreymon/SkullGreymon_Anim_attack02.SkullGreymon_Anim_attack02'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/SkullGreymon/SkullGreymon_Anim_special01.SkullGreymon_Anim_special01'","None","/Script/Engine.AnimSequence'/Game/Digimon/Characters/SkullGreymon/SkullGreymon_Anim_damage.SkullGreymon_Anim_damage'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/SkullGreymon/SkullGreymon_Anim_guard.SkullGreymon_Anim_guard'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/SkullGreymon/SkullGreymon_Anim_getup.SkullGreymon_Anim_getup'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/SkullGreymon/SkullGreymon_Anim_down.SkullGreymon_Anim_down'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/SkullGreymon/SkullGreymon_Anim_win.SkullGreymon_Anim_win'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/SkullGreymon/SkullGreymon_Anim_eat.SkullGreymon_Anim_eat'","5000","5000","600","600","400","400","None","4000","6000","500","500","300","300","10","65","-1","95","30","30","False","False","Greymon","Devimon","Bakemon","Garurumon","Mojyamon","None","None","None","None","None","None"
Sukamon,"Sukamon","Scumon","MoldyMeat","Champion","Virus","Filth","None","None","Day","Filth","/Script/Engine.Texture2D'/Game/UI/Images/DigimonSprite_Sukamon.DigimonSprite_Sukamon'","/Script/Engine.SkeletalMesh'/Game/Digimon/Characters/Sukamon/SkeletalMesh_Sukamon.SkeletalMesh_Sukamon'","/Script/Engine.AnimBlueprintGeneratedClass'/Game/Digimon/Characters/Sukamon/Animation_Sukamon.Animation_Sukamon_C'","(""/Script/Engine.Material'/Game/Digimon/Characters/Sukamon/DigimonMaterial_Sukamon.DigimonMaterial_Sukamon'"")","6","30","80","35","11","1","36","0","200","1.000000","J_kuci_ue","J_kuci_ue","J_center","J_center","J_center","/Script/Engine.SoundWave'/Game/Audio/SFX/Movement/SL_00004.SL_00004'","None","None","None","None","0","3","6","9","12","15","18","21","48","49","50","51","52","53","54","55","-1","-1","-1","-1","-1","-1","-1","-1","54","64","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Sukamon/Sukamon_Anim_attack01.Sukamon_Anim_attack01'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Sukamon/Sukamon_Anim_attack02.Sukamon_Anim_attack02'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Sukamon/Sukamon_Anim_special01.Sukamon_Anim_special01'","None","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Sukamon/Sukamon_Anim_damage.Sukamon_Anim_damage'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Sukamon/Sukamon_Anim_guard.Sukamon_Anim_guard'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Sukamon/Sukamon_Anim_getup.Sukamon_Anim_getup'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Sukamon/Sukamon_Anim_down.Sukamon_Anim_down'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Sukamon/Sukamon_Anim_win.Sukamon_Anim_win'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Sukamon/Sukamon_Anim_eat.Sukamon_Anim_eat'","-1","-1","-1","-1","-1","5","None","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","False","False","None","None","None","None","None","Etemon","None","None","None","None","None"
PlatinumSukamon,"PlatinumSukamon","PlatinumSukamon","None","Champion","Virus","Filth","None","Battle","Sleepy","Filth","/Script/Engine.Texture2D'/Game/UI/Images/DigimonSprite_PlatinumSukamon.DigimonSprite_PlatinumSukamon'","/Script/Engine.SkeletalMesh'/Game/Digimon/Characters/Sukamon/SkeletalMesh_Sukamon.SkeletalMesh_Sukamon'","/Script/Engine.AnimBlueprintGeneratedClass'/Game/Digimon/Characters/Sukamon/Animation_Sukamon.Animation_Sukamon_C'","(""/Script/Engine.Material'/Game/Digimon/Characters/Sukamon/DigimonMaterial_PlatinumSukamon.DigimonMaterial_PlatinumSukamon'"")","0","30","80","0","0","1","36","0","200","1.000000","J_kuci_ue","J_kuci_ue","J_center","J_center","J_center","/Script/Engine.SoundWave'/Game/Audio/SFX/Movement/SL_00004.SL_00004'","None","None","None","None","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Sukamon/Sukamon_Anim_attack01.Sukamon_Anim_attack01'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Sukamon/Sukamon_Anim_attack02.Sukamon_Anim_attack02'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Sukamon/Sukamon_Anim_special01.Sukamon_Anim_special01'","None","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Sukamon/Sukamon_Anim_damage.Sukamon_Anim_damage'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Sukamon/Sukamon_Anim_guard.Sukamon_Anim_guard'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Sukamon/Sukamon_Anim_getup.Sukamon_Anim_getup'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Sukamon/Sukamon_Anim_down.Sukamon_Anim_down'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Sukamon/Sukamon_Anim_win.Sukamon_Anim_win'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Sukamon/Sukamon_Anim_eat.Sukamon_Anim_eat'","-1","-1","-1","-1","-1","-1","None","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","False","False","None","None","None","None","None","None","None","None","None","None","None"
Tanemon,"Tanemon","Tanemon","None","In-Training","Data","Earth","Ice","None","N/A Baby II","MP and Brains","/Script/Engine.Texture2D'/Game/UI/Images/DigimonSprite_Tanemon.DigimonSprite_Tanemon'","/Script/Engine.SkeletalMesh'/Game/Digimon/Characters/Tanemon/SkeletalMesh_Tanemon.SkeletalMesh_Tanemon'","/Script/Engine.AnimBlueprintGeneratedClass'/Game/Digimon/Characters/Tanemon/Animation_Tanemon.Animation_Tanemon_C'","(""/Script/Engine.Material'/Game/Digimon/Characters/Tanemon/DigimonMaterial_Tanemon.DigimonMaterial_Tanemon'"")","8","10","25","10","3","1","18","0","50","1.000000","J_ago","J_ago","J_center","J_ude_R","J_ude_L","/Script/Engine.SoundWave'/Game/Audio/SFX/Movement/SL_00008.SL_00008'","/Script/Engine.SoundWave'/Game/Audio/SFX/DigimonVoices/Eating01.Eating01'","None","/Script/Engine.SoundWave'/Game/Audio/SFX/DigimonVoices/VLALL_00001.VLALL_00001'","None","-1","-1","-1","-1","-1","-1","-1","-1","56","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","56","-1","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Tanemon/Tanemon_Anim_attack01.Tanemon_Anim_attack01'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Tanemon/Tanemon_Anim_attack02.Tanemon_Anim_attack02'","None","None","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Tanemon/Tanemon_Anim_damage.Tanemon_Anim_damage'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Tanemon/Tanemon_Anim_guard.Tanemon_Anim_guard'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Tanemon/Tanemon_Anim_getup.Tanemon_Anim_getup'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Tanemon/Tanemon_Anim_down.Tanemon_Anim_down'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Tanemon/Tanemon_Anim_win.Tanemon_Anim_win'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Tanemon/Tanemon_Anim_eat.Tanemon_Anim_eat'","-1","-1","-1","-1","-1","10","None","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","False","False","Yuramon","None","None","None","None","Palmon","Betamon","None","None","None","None"
Tankmon,"Tankmon","Tankmon","None","Champion","Data","Fire","Battle","None","Sun Up","Neutral","/Script/Engine.Texture2D'/Game/UI/Images/DigimonSprite_Tankmon.DigimonSprite_Tankmon'","/Script/Engine.SkeletalMesh'/Game/Digimon/Characters/Tankmon/SkeletalMesh_Tankmon.SkeletalMesh_Tankmon'","/Script/Engine.AnimBlueprintGeneratedClass'/Game/Digimon/Characters/Tankmon/Animation_Tankmon.Animation_Tankmon_C'","(""/Script/Engine.Material'/Game/Digimon/Characters/Tankmon/DigimonMaterial_Tankmon.DigimonMaterial_Tankmon'"")","0","30","80","0","0","1","36","0","300","1.200000","J_atama","J_ago","J_center","J_shippo01","J_shippo01","None","None","None","None","None","-1","-1","-1","-1","-1","-1","-1","-1","2","3","14","15","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Tankmon/Tankmon_Anim_attack01.Tankmon_Anim_attack01'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Tankmon/Tankmon_Anim_attack02.Tankmon_Anim_attack02'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Tankmon/Tankmon_Anim_special01.Tankmon_Anim_special01'","None","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Tankmon/Tankmon_Anim_damage.Tankmon_Anim_damage'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Tankmon/Tankmon_Anim_guard.Tankmon_Anim_guard'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Tankmon/Tankmon_Anim_getup.Tankmon_Anim_getup'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Tankmon/Tankmon_Anim_down.Tankmon_Anim_down'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Tankmon/Tankmon_Anim_win.Tankmon_Anim_win'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Tankmon/Tankmon_Anim_eat.Tankmon_Anim_eat'","-1","-1","-1","-1","-1","-1","None","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","False","False","None","None","None","None","None","None","None","None","None","None","None"
Tentomon,"Tentomon","Tentomon","HappyMushroom","Rookie","Virus","Earth","None","Air","Sunset","Offense and Speed","/Script/Engine.Texture2D'/Game/UI/Images/DigimonSprite_Tentomon.DigimonSprite_Tentomon'","/Script/Engine.SkeletalMesh'/Game/Digimon/Characters/Tentomon/SkeletalMesh_Tentomon.SkeletalMesh_Tentomon'","/Script/Engine.AnimBlueprintGeneratedClass'/Game/Digimon/Characters/Tentomon/Animation_Tentomon.Animation_Tentomon_C'","(""/Script/Engine.Material'/Game/Digimon/Characters/Tentomon/DigimonMaterial_Tentomon.DigimonMaterial_Tentomon'"",""/Script/Engine.Material'/Game/Digimon/Characters/Tentomon/DigimonMaterial_Tentomon.DigimonMaterial_Tentomon'"")","7","15","40","20","5","1","24","0","100","1.000000","J_kubi","J_atama","J_center","J_kakato_R","J_kakato_L","None","None","None","None","None","2","6","10","14","18","22","-1","-1","18","19","20","24","26","29","30","-1","-1","-1","-1","-1","-1","-1","-1","-1","18","75","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Tentomon/Tentomon_Anim_attack01.Tentomon_Anim_attack01'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Tentomon/Tentomon_Anim_attack02.Tentomon_Anim_attack02'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Tentomon/Tentomon_Anim_special01.Tentomon_Anim_special01'","None","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Tentomon/Tentomon_Anim_damage.Tentomon_Anim_damage'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Tentomon/Tentomon_Anim_guard.Tentomon_Anim_guard'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Tentomon/Tentomon_Anim_getup.Tentomon_Anim_getup'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Tentomon/Tentomon_Anim_down.Tentomon_Anim_down'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Tentomon/Tentomon_Anim_win.Tentomon_Anim_win'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Tentomon/Tentomon_Anim_eat.Tentomon_Anim_eat'","1000","1000","50","50","50","50","None","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","False","False","None","None","None","None","None","Bakemon","Kabuterimon","Kuwagamon","Vegiemon","None","None"
Tokomon,"Tokomon","Tokomon","None","In-Training","Data","Air","Battle","None","N/A Baby II","Offense and Speed","/Script/Engine.Texture2D'/Game/UI/Images/DigimonSprite_Tokomon.DigimonSprite_Tokomon'","/Script/Engine.SkeletalMesh'/Game/Digimon/Characters/Tokomon/SkeletalMesh_Tokomon.SkeletalMesh_Tokomon'","/Script/Engine.AnimBlueprintGeneratedClass'/Game/Digimon/Characters/Tokomon/Animation_Tokomon.Animation_Tokomon_C'","(""/Script/Engine.Material'/Game/Digimon/Characters/Tokomon/DigimonMaterial_Tokomon.DigimonMaterial_Tokomon'"")","8","10","25","10","3","1","18","0","50","1.000000","J_center","J_uwago_m","J_center","J_te_R","J_te_L","/Script/Engine.SoundWave'/Game/Audio/SFX/Movement/SL_00008.SL_00008'","/Script/Engine.SoundWave'/Game/Audio/SFX/DigimonVoices/Eating01.Eating01'","None","/Script/Engine.SoundWave'/Game/Audio/SFX/DigimonVoices/VLALL_00001.VLALL_00001'","None","-1","-1","-1","-1","-1","-1","-1","-1","56","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","56","-1","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Tokomon/Tokomon_Anim_attack01.Tokomon_Anim_attack01'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Tokomon/Tokomon_Anim_attack02.Tokomon_Anim_attack02'","None","None","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Tokomon/Tokomon_Anim_damage.Tokomon_Anim_damage'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Tokomon/Tokomon_Anim_guard.Tokomon_Anim_guard'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Tokomon/Tokomon_Anim_getup.Tokomon_Anim_getup'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Tokomon/Tokomon_Anim_down.Tokomon_Anim_down'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Tokomon/Tokomon_Anim_win.Tokomon_Anim_win'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Tokomon/Tokomon_Anim_eat.Tokomon_Anim_eat'","-1","-1","-1","-1","-1","10","None","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","False","False","Poyomon","None","None","None","None","Patamon","Piyomon","None","None","None","None"
ToyAgumon,"ToyAgumon","ToyAgumon","None","Rookie","Data","Battle","None","None","Day","Neutral","/Script/Engine.Texture2D'/Game/UI/Images/DigimonSprite_ToyAgumon.DigimonSprite_ToyAgumon'","/Script/Engine.SkeletalMesh'/Game/Digimon/Characters/ToyAgumon/SkeletalMesh_ToyAgumon.SkeletalMesh_ToyAgumon'","/Script/Engine.AnimBlueprintGeneratedClass'/Game/Digimon/Characters/ToyAgumon/Animation_ToyAgumon.Animation_ToyAgumon_C'","(""/Script/Engine.Material'/Game/Digimon/Characters/ToyAgumon/DigimonMaterial_ToyAgumon.DigimonMaterial_ToyAgumon'"")","0","15","80","0","0","1","24","0","100","1.300000","J_head","J_jaw","J_center","J_foot_r","J_foot_l","None","None","None","None","None","-1","-1","-1","-1","-1","-1","-1","-1","0","2","3","4","5","9","11","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","/Script/Engine.AnimSequence'/Game/Digimon/Characters/ToyAgumon/ToyAgumon_Anim_attack01.ToyAgumon_Anim_attack01'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/ToyAgumon/ToyAgumon_Anim_attack02.ToyAgumon_Anim_attack02'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/ToyAgumon/ToyAgumon_Anim_special01.ToyAgumon_Anim_special01'","None","/Script/Engine.AnimSequence'/Game/Digimon/Characters/ToyAgumon/ToyAgumon_Anim_damage.ToyAgumon_Anim_damage'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/ToyAgumon/ToyAgumon_Anim_guard.ToyAgumon_Anim_guard'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/ToyAgumon/ToyAgumon_Anim_getup.ToyAgumon_Anim_getup'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/ToyAgumon/ToyAgumon_Anim_dowm.ToyAgumon_Anim_dowm'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/ToyAgumon/ToyAgumon_Anim_win.ToyAgumon_Anim_win'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/ToyAgumon/ToyAgumon_Anim_eat.ToyAgumon_Anim_eat'","-1","-1","-1","-1","-1","-1","None","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","False","False","None","None","None","None","None","None","None","None","None","None","None"
ClearAgumon,"ClearAgumon","ClearAgumon","None","Rookie","Data","Earth","Battle","None","Day","Neutral","/Script/Engine.Texture2D'/Game/UI/Images/DigimonSprite_ToyAgumon.DigimonSprite_ToyAgumon'","/Script/Engine.SkeletalMesh'/Game/Digimon/Characters/ToyAgumon/SkeletalMesh_ToyAgumon.SkeletalMesh_ToyAgumon'","/Script/Engine.AnimBlueprintGeneratedClass'/Game/Digimon/Characters/ToyAgumon/Animation_ToyAgumon.Animation_ToyAgumon_C'","(""/Script/Engine.Material'/Game/Digimon/Characters/ToyAgumon/DigimonMaterial_ClearAgumon.DigimonMaterial_ClearAgumon'"")","0","15","80","0","0","1","24","0","100","1.300000","J_head","J_jaw","J_center","J_foot_r","J_foot_l","None","None","None","None","None","-1","-1","-1","-1","-1","-1","-1","-1","0","2","3","4","5","9","11","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","/Script/Engine.AnimSequence'/Game/Digimon/Characters/ToyAgumon/ToyAgumon_Anim_attack01.ToyAgumon_Anim_attack01'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/ToyAgumon/ToyAgumon_Anim_attack02.ToyAgumon_Anim_attack02'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/ToyAgumon/ToyAgumon_Anim_special01.ToyAgumon_Anim_special01'","None","/Script/Engine.AnimSequence'/Game/Digimon/Characters/ToyAgumon/ToyAgumon_Anim_damage.ToyAgumon_Anim_damage'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/ToyAgumon/ToyAgumon_Anim_guard.ToyAgumon_Anim_guard'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/ToyAgumon/ToyAgumon_Anim_getup.ToyAgumon_Anim_getup'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/ToyAgumon/ToyAgumon_Anim_dowm.ToyAgumon_Anim_dowm'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/ToyAgumon/ToyAgumon_Anim_win.ToyAgumon_Anim_win'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/ToyAgumon/ToyAgumon_Anim_eat.ToyAgumon_Anim_eat'","-1","-1","-1","-1","-1","-1","None","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","False","False","None","None","None","None","None","None","None","None","None","None","None"
